,3M_Rate,10Y_2Y_Curve,5y5y_Forward,Core_PCE,NFP,UnEmp,Hstarts,IP,ISM,Mich_Sent,Mich_Inf,CPI
1989-11-01,7.69,0.07857142857142858,7.937619047619047,0.002655622648667366,276.0,5.4,1351.0,0.0032788336584763655,46.8,90.9,3.5,0.003828483920367498
1989-12-01,7.63,0.05900000000000001,7.925500000000001,0.002853539334699562,84.0,5.4,1251.0,0.006068236539891858,47.4,90.5,3.5,0.0038138825324181003
1990-01-01,7.64,0.12142857142857144,8.293809523809523,0.003851535111851767,363.0,5.4,1551.0,-0.00663934079600037,47.2,93.0,4.1,0.0037993920972645423
1990-02-01,7.74,0.10263157894736845,8.52157894736842,0.004854673014281996,236.0,5.3,1437.0,0.009804045232944647,49.1,89.5,4.1,0.004542013626040786
1990-03-01,7.9,-0.038181818181818185,8.576818181818181,0.004800049870648193,209.0,5.2,1289.0,0.004893464866670971,49.9,91.3,3.7,0.006028636021100375
1990-04-01,7.77,0.06150000000000001,8.803,0.002977944597822191,42.0,5.4,1248.0,-0.0015196245998944091,50.0,93.9,3.6,0.0037453183520599342
1990-05-01,7.74,0.11590909090909095,8.780454545454546,0.003061887235950911,153.0,5.4,1212.0,0.002133513434443124,49.5,90.6,3.4,0.0029850746268658135
1990-06-01,7.73,0.12904761904761905,8.529523809523809,0.003885051800690542,17.0,5.2,1177.0,0.0032113147600909553,49.2,88.3,3.8,0.005208333333333259
1990-07-01,7.62,0.31428571428571433,8.61190476190476,0.002518582222495347,-32.0,5.5,1171.0,-0.0012940355178696628,46.6,88.2,3.4,0.005181347150259086
1990-08-01,7.45,0.6913043478260869,9.068695652173913,0.004166666666666652,-208.0,5.7,1115.0,0.003287327283576724,46.1,76.4,4.6,0.00589101620029453
1990-09-01,7.36,0.8136842105263158,9.272631578947369,0.0034934098120575907,-98.0,5.9,1110.0,0.0012652048581394126,44.5,72.8,4.7,0.0036603221083455484
1990-10-01,7.17,0.8418181818181818,9.111363636363636,0.003390036636718774,-151.0,5.9,1014.0,-0.007515293645712018,43.2,63.9,4.8,0.003646973012399801
1990-11-01,7.06,0.7935000000000001,8.761500000000002,0.0011968971577478449,-153.0,6.2,1145.0,-0.011691751881779733,41.3,66.0,4.7,0.0029069767441860517
1990-12-01,6.74,0.761,8.4235,0.0014073210961973448,-48.0,6.3,969.0,-0.006541848799769712,40.8,65.5,4.7,0.004347826086956497
1991-01-01,6.22,0.9676190476190478,8.485714285714286,0.004986702127659504,-111.0,6.4,798.0,-0.004341396530049391,39.2,66.8,3.9,0.006493506493506551
1991-02-01,5.94,0.9878947368421053,8.236842105263158,0.00275163143175039,-321.0,6.6,965.0,-0.006980974855768873,39.4,70.4,3.4,0.00501792114695343
1991-03-01,5.91,1.0070000000000001,8.448000000000004,0.0020843017589109447,-160.0,6.8,921.0,-0.005239710342662907,40.7,87.7,3.3,0.0021398002853068032
1991-04-01,5.65,1.0909090909090913,8.377272727272727,0.001990183755312014,-210.0,6.7,1001.0,0.0019720214427147997,42.8,81.8,3.2,0.002846975088967918
1991-05-01,5.46,1.284090909090909,8.43409090909091,0.004002329714311248,-115.0,6.9,996.0,0.010011005518825833,44.5,78.3,3.1,0.002838892831795725
1991-06-01,5.57,1.3279999999999998,8.631000000000002,0.0021568073301698742,85.0,6.9,1036.0,0.009108464859396204,50.3,82.1,3.3,0.0035385704175512345
1991-07-01,5.58,1.3550000000000002,8.63409090909091,0.003042716775017107,-42.0,6.8,1063.0,0.0011917297736974142,50.6,82.9,3.1,0.0035260930888576514
1991-08-01,5.33,1.4668181818181816,8.375,0.002752334305035742,18.0,6.9,1049.0,0.0008549457747100142,52.9,82.0,3.2,0.0042164441321153046
1991-09-01,5.22,1.4685000000000001,8.164,0.003999114587176278,26.0,6.9,1015.0,0.00890240391649133,54.9,83.0,3.0,0.0034989503149054357
1991-10-01,4.99,1.6149999999999998,8.183181818181819,0.002204715150802672,21.0,7.0,1079.0,-0.0017416930441426226,53.1,78.3,3.2,0.0020920502092049986
1991-11-01,4.56,1.8584210526315788,8.216842105263158,0.001862552430117459,-61.0,7.0,1103.0,-0.0011449314525009413,49.5,69.1,2.9,0.003479471120389599
1991-12-01,4.07,2.0628571428571427,7.990952380952381,0.002473906869848941,32.0,7.3,1079.0,-0.003976668543191342,46.8,68.2,2.7,0.0034674063800277377
1992-01-01,3.8,2.0742857142857147,7.821904761904763,0.002701439794398519,41.0,7.3,1176.0,-0.005593959842182139,47.3,67.5,2.7,0.0027643400138217533
1992-02-01,3.84,2.1257894736842102,8.097894736842106,0.0027232877510303677,-58.0,7.4,1250.0,0.007163224256126588,52.7,68.8,2.6,0.002067539627842896
1992-03-01,4.04,1.8572727272727272,8.139090909090909,0.0024980393295959136,54.0,7.4,1297.0,0.008309936652605154,54.6,76.0,2.6,0.003438789546079679
1992-04-01,3.75,2.136190476190476,8.176666666666668,0.0032741285892272654,154.0,7.4,1099.0,0.0075807043400930585,52.6,77.2,3.0,0.00274160383824551
1992-05-01,3.63,2.1665,8.091500000000002,0.0014151215849360632,130.0,7.6,1214.0,0.0032619027045710514,55.7,79.2,2.9,0.0034176349965824304
1992-06-01,3.66,2.213636363636364,8.04090909090909,0.0007786589762077689,66.0,7.8,1145.0,0.00014303247298519395,53.6,80.4,3.1,0.002043596730245012
1992-07-01,3.21,2.489090909090909,7.8522727272727275,0.003774998559160858,78.0,7.7,1139.0,0.009037436855581005,53.9,76.6,2.7,0.003399048266485405
1992-08-01,3.13,2.3928571428571423,7.575238095238094,0.0009186690781730622,132.0,7.6,1226.0,-0.004920965844321112,53.4,76.1,2.8,0.002032520325203402
1992-09-01,2.91,2.520952380952381,7.4504761904761905,0.0016205363545103157,34.0,7.6,1186.0,0.002323326844762663,49.7,75.6,3.0,0.0013522650439485862
1992-10-01,2.86,2.506190476190476,7.577619047619049,0.0038514954970432225,180.0,7.3,1244.0,0.007500840387494989,50.3,73.3,2.8,0.004726536124240566
1992-11-01,3.13,2.2936842105263158,7.708421052631578,0.002182222729347316,133.0,7.4,1214.0,0.00425406714601384,53.6,85.3,2.9,0.0026881720430105283
1992-12-01,3.22,2.0963636363636358,7.46409090909091,0.0018501387604070718,223.0,7.4,1227.0,0.0009030858958520849,54.2,91.0,2.8,0.002680965147453085
1993-01-01,3.0,2.2100000000000004,7.366315789473686,0.002912138646210538,299.0,7.3,1210.0,0.004331806413065298,55.8,89.3,2.9,0.0033422459893048817
1993-02-01,2.93,2.1605263157894736,7.088947368421053,0.0019121813031162116,250.0,7.1,1210.0,0.00443330734342573,55.2,86.6,3.2,0.0033311125916055673
1993-03-01,2.95,2.0256521739130435,6.7556521739130435,0.0021771400296881627,-50.0,7.0,1083.0,-0.001399952736638288,53.5,85.9,3.1,0.0013280212483401943
